Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
others,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,1,0,0,0,0,4890,12738,64360,18415
others,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,2,0,0,0,0,9571,25042,82673,35836
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,3,529485,796592,1036035,512101,248974,251629,121912,400423
others,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,4,0,0,0,0,72120,188361,72246,115540
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis,5,298270,449023,742763,269313,125665,106055,66304,202410
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii,6,0,0,0,0,23824,57867,152362,83608
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp.,Alistipes sp.,7,0,0,0,0,0,0,47091,11097
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum hallii,8,0,0,0,0,7012,18129,10618,11184
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes sp.,Anaerostipes sp.,9,0,0,0,0,65891,170312,73139,106379
others,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp.,Bacillus sp.,10,186,244,441,100,0,0,0,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fluxus,Bacteroides fluxus,11,1247,1882,3738,1167,0,0,0,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides fragilis,12,1079,1632,3163,1001,47104,122873,187754,77287
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,Bacteroides salyersiae,13,0,1303,2844,0,0,15789,131486,22832
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp.,Bacteroides sp.,14,1670,2560,5308,1647,287974,754654,819197,503601
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,Bacteroides stercoris,15,0,0,0,0,93651,278750,155668,155497
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,16,3337,4865,6763,2910,97246,244855,302998,174498
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides uniformis,17,857026,1289698,1323331,1655721,356481,283132,64203,575663
others,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,Barnesiella intestinihominis,18,0,0,0,0,52880,138675,106378,85504
others,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium adolescentis,19,282548,425141,604343,255124,127142,124630,87012,208158
others,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,Bifidobacterium angulatum,20,0,0,0,0,5679,14940,62085,20855
others,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,Bifidobacterium bifidum,21,0,0,0,0,16088,42124,60728,26082
others,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum,22,0,0,0,0,65453,171370,57313,105532
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia obeum,Blautia obeum,23,0,0,0,0,14259,37791,29453,23863
others,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium lundense,Clostridium lundense,24,66,93,314,111,0,0,0,0
others,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella aerofaciens,25,303683,456865,709923,274611,111657,76321,28152,180022
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus comes,Coprococcus comes,26,0,0,0,0,47195,152944,81382,68091
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,Coprococcus eutactus,27,0,0,0,0,17202,77009,37057,27233
others,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Culturomica,Culturomica sp.,Culturomica sp.,28,4823,7195,535,4309,0,0,0,0
others,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister invisus,Dialister invisus,29,0,0,0,0,4566,11934,53646,17191
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea formicigenerans,Dorea formicigenerans,30,0,0,0,0,11361,41034,58364,18664
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea longicatena,Dorea longicatena,31,0,0,0,0,39411,122865,42131,63360
others,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthella lenta,32,0,0,0,0,0,0,93361,0
others,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,Enterococcus faecium,33,0,0,0,0,0,0,70247,14812
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eshraghiella,Eshraghiella crossota,Eshraghiella crossota,34,0,0,0,0,22256,78603,52423,35631
others,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium sp.,Faecalibacterium sp.,35,191413,280410,188018,493534,0,0,0,0
others,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor sp.,Flavonifractor sp.,36,0,0,0,0,0,27275,89316,39995
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter sp.,Fusicatenibacter sp.,37,0,0,0,0,0,53945,0,0
others,Bacillota,Clostridia,Eubacteriales,others,Gemmiger,Gemmiger sp.,Gemmiger sp.,38,0,0,0,0,0,0,61034,14874
others,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Gordonibacter pamelaeae,Gordonibacter pamelaeae,39,0,0,0,0,0,0,94879,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella timonensis,Hoylesella timonensis,40,0,0,0,0,0,0,26123,0
others,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Intestinibacter,Intestinibacter bartlettii,Intestinibacter bartlettii,41,0,0,0,0,0,0,61621,0
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira eligens,Lachnospira eligens,42,0,0,0,0,58727,156101,85837,94661
others,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Leyella,Leyella stercorea,Leyella stercorea,43,8397,12648,25658,7598,0,0,9031,0
others,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,Ligilactobacillus ruminis,44,0,0,0,0,5166,13508,58514,19381
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus,Mediterraneibacter gnavus,45,0,0,0,0,0,0,42952,0
others,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,Megasphaera elsdenii,46,0,0,0,0,0,0,61223,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,Odoribacter splanchnicus,47,0,0,0,0,33057,86385,130281,53714
others,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides distasonis,48,0,0,0,0,88201,231645,133758,141743
others,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,Parabacteroides johnsonii,49,3980,5926,12086,3706,0,0,0,0
others,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella excrementihominis,Parasutterella excrementihominis,50,0,0,0,0,0,0,9986,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,Phocaeicola barnesiae,51,0,673,1528,0,0,0,0,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,Phocaeicola plebeius,52,94,114,16349,63,93131,241896,114918,148206
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Phocaeicola vulgatus,53,1476509,2220093,2602954,2490142,655927,624877,304875,1064189
others,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bivia,Prevotella bivia,54,0,0,0,0,12016,32103,87799,46058
others,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella corporis,Prevotella corporis,55,0,0,0,0,0,0,12829,0
others,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Provencibacterium,Provencibacterium sp.,Provencibacterium sp.,56,5694,8443,8501,9409,0,0,0,0
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia hominis,Roseburia hominis,57,0,0,0,0,50491,123834,153767,136621
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Roseburia intestinalis,58,0,0,0,0,0,0,8481,0
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia sp.,Roseburia sp.,59,0,0,0,0,0,97169,0,0
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Ruminococcus lactaris,Ruminococcus lactaris,60,0,0,0,0,0,0,9469,0
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Ruminococcus torques,Ruminococcus torques,61,0,0,0,0,20222,65055,21758,24929
others,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruthenibacterium,Ruthenibacterium sp.,Ruthenibacterium sp.,62,0,0,0,0,0,0,38094,13332
others,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,Segatella copri,63,5030990,2523209,1027405,2368106,4963089,453225,78165,824881
others,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasanguinis,Streptococcus parasanguinis,64,0,0,0,0,0,11146,62114,16045
others,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp.,Streptococcus sp.,65,0,0,0,0,0,0,50208,0
others,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Streptococcus thermophilus,66,0,0,0,0,10367,27159,51863,39128
others,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,Veillonella parvula,67,0,0,0,0,0,0,60333,11324
